Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode
1169790,2020-05-03 16:30:34,30044330818990,fraud_Jast Ltd,shopping_net,5.87,Allison,Ayala,F,87665 Karen Mill Apt. 586,Fort Myers,FL,33967,26.4722,-81.8122,224256,Paramedic,1985-08-29,b8431c4ceb487ed2cecb97f641a600d5,1367598634,25.586942,-82.28582800000001,0,
1165086,2020-05-01 08:24:45,4561546772499,"fraud_Kutch, Hermiston and Farrell",gas_transport,66.52,Daniel,Briggs,M,7118 Jessica Unions Apt. 789,Moriarty,NM,87035,34.9889,-106.0609,7268,"Therapist, art",1988-08-04,e0ba3736f7946698905a431181e44383,1367396685,34.705012,-105.106004,0,
1251401,2020-06-05 07:32:04,375848982312810,fraud_Johns-Hoeger,entertainment,19.08,Dale,Smith,M,25036 Contreras Turnpike Suite 270,Purmela,TX,76566,31.4841,-97.9903,258,Web designer,1943-12-15,b64d91016a618a0c510eed5707637c86,1370417524,32.425372,-97.61299,0,76044.0
1287871,2020-06-17 17:19:29,345933964507467,fraud_Friesen Inc,shopping_pos,6.05,Carol,Dillon,F,27479 Reeves Dale,Whaleyville,MD,21872,38.4121,-75.2811,718,Regulatory affairs officer,1985-03-19,d433fcbb11aca7880cfde5912f48fe1c,1371489569,37.770147,-75.474624,0,23302.0
1265526,2020-06-09 17:44:54,4716561796955522,fraud_Jakubowski Inc,home,52.18,Lauren,Anderson,F,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,1972-05-04,616cf0cf08c57cc2e51cd603c805af68,1370799894,47.747097,-112.94686000000002,0,
1076124,2020-03-23 05:24:40,4312133045694601139,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,65.83,Julian,Price,M,086 Pierce Cove,Pikesville,MD,21208,39.3764,-76.729,33917,Company secretary,1977-06-12,816e366ef5f4abb8805b3db9a01d2e5a,1364016280,40.162884000000005,-76.35788000000001,0,17545.0
1150414,2020-04-24 22:16:54,3556613125071656,fraud_Heaney-Marquardt,entertainment,4.88,Jose,Vasquez,M,572 Davis Mountains,Lake Jackson,TX,77566,29.0393,-95.4401,28739,Futures trader,1999-12-27,b6f11fb3271a7af7159a599fd06fea12,1366841814,28.355891,-94.998368,0,
1273824,2020-06-13 09:48:50,6011552879910390,fraud_Miller-Harris,misc_net,57.91,Robert,Long,M,529 Joshua Knoll Apt. 511,Lonetree,WY,82936,41.0552,-110.1603,49,Research scientist (physical sciences),1981-07-05,8f796907e337e0597b4dd08becc17ead,1371116930,41.807301,-110.685207,0,83101.0
1050501,2020-03-11 13:49:39,3582754887089201,fraud_Goldner-Lemke,entertainment,57.42,Terrance,Mckinney,M,42965 Christopher Fords Suite 659,Norman,AR,71960,34.4596,-93.6743,1383,Magazine features editor,1966-08-08,25b73c5c639db68641d21925eafa5c84,1363009779,34.532815,-93.171166,0,71956.0
1150759,2020-04-25 03:05:23,4760122961662,"fraud_Stanton, Jakubowski and Baumbach",shopping_net,94.96,Robert,Jordan,M,4602 Lopez Glens Suite 900,Arcadia,OH,44804,41.1116,-83.50200000000001,1202,Curator,1933-03-01,e5f4f60e11bf3b5da5c917e6f875b172,1366859123,41.196199,-83.2826,0,44841.0
